AGS;Gemeinde;Regierungsbezirk;Landkreis
09161000;Ingolstadt;Oberbayern;Stadt Ingolstadt
09171112;Burghausen;Oberbayern;Altötting
09171113;Burgkirchen a.d. Alz;Oberbayern;Altötting
09171114;Emmerting;Oberbayern;Altötting
09171115;Erlbach;Oberbayern;Altötting
09171124;Mehring;Oberbayern;Altötting
09171126;Perach;Oberbayern;Altötting
09171131;Teising;Oberbayern;Altötting
09171137;Winhöring;Oberbayern;Altötting
09172111;Ainring;Oberbayern;Berchtesgadener Land
09172116;Berchtesgaden;Oberbayern;Berchtesgadener Land
09172117;Bischofswiesen;Oberbayern;Berchtesgadener Land
09172118;Freilassing;Oberbayern;Berchtesgadener Land
09172122;Laufen;Oberbayern;Berchtesgadener Land
09172128;Piding;Oberbayern;Berchtesgadener Land
09172130;Saaldorf-Surheim;Oberbayern;Berchtesgadener Land
09172131;Schneizlreuth;Oberbayern;Berchtesgadener Land
09172132;Schönau a. Königssee;Oberbayern;Berchtesgadener Land
09172134;Teisendorf;Oberbayern;Berchtesgadener Land
09173118;Dietramszell;Oberbayern;Bad Tölz-Wolfratshausen
09173120;Egling;Oberbayern;Bad Tölz-Wolfratshausen
09173124;Gaißach;Oberbayern;Bad Tölz-Wolfratshausen
09173127;Greiling;Oberbayern;Bad Tölz-Wolfratshausen
09173137;Münsing;Oberbayern;Bad Tölz-Wolfratshausen
09173140;Reichersbeuern;Oberbayern;Bad Tölz-Wolfratshausen
09173141;Sachsenkam;Oberbayern;Bad Tölz-Wolfratshausen
09173142;Schlehdorf;Oberbayern;Bad Tölz-Wolfratshausen
09173145;Wackersberg;Oberbayern;Bad Tölz-Wolfratshausen
09174113;Bergkirchen;Oberbayern;Dachau
09174118;Erdweg;Oberbayern;Dachau
09174121;Haimhausen;Oberbayern;Dachau
09174122;Hebertshausen;Oberbayern;Dachau
09174135;Odelzhausen;Oberbayern;Dachau
09174137;Pfaffenhofen a.d. Glonn;Oberbayern;Dachau
09174141;Röhrmoos;Oberbayern;Dachau
09174143;Schwabhausen;Oberbayern;Dachau
09174146;Sulzemoos;Oberbayern;Dachau
09174147;Hilgertshausen-Tandern;Oberbayern;Dachau
09174150;Vierkirchen;Oberbayern;Dachau
09174151;Weichs;Oberbayern;Dachau
09175113;Baiern;Oberbayern;Ebersberg
09175114;Bruck;Oberbayern;Ebersberg
09175115;Ebersberg;Oberbayern;Ebersberg
09175122;Grafing b. München;Oberbayern;Ebersberg
09175123;Hohenlinden;Oberbayern;Ebersberg
09175124;Kirchseeon;Oberbayern;Ebersberg
09175128;Moosach;Oberbayern;Ebersberg
09175132;Vaterstetten;Oberbayern;Ebersberg
09175133;Pliening;Oberbayern;Ebersberg
09175136;Emmering;Oberbayern;Ebersberg
09176111;Adelschlag;Oberbayern;Eichstätt
09176112;Altmannstein;Oberbayern;Eichstätt
09176114;Beilngries;Oberbayern;Eichstätt
09176121;Dollnstein;Oberbayern;Eichstätt
09176123;Eichstätt;Oberbayern;Eichstätt
09176126;Gaimersheim;Oberbayern;Eichstätt
09176129;Großmehring;Oberbayern;Eichstätt
09176131;Hepberg;Oberbayern;Eichstätt
09176132;Hitzhofen;Oberbayern;Eichstätt
09176137;Kinding;Oberbayern;Eichstätt
09176138;Kipfenberg;Oberbayern;Eichstätt
09176139;Kösching;Oberbayern;Eichstätt
09176147;Mindelstetten;Oberbayern;Eichstätt
09176148;Mörnsheim;Oberbayern;Eichstätt
09176153;Pförring;Oberbayern;Eichstätt
09176155;Pollenfeld;Oberbayern;Eichstätt
09176160;Schernfeld;Oberbayern;Eichstätt
09176165;Walting;Oberbayern;Eichstätt
09176166;Wellheim;Oberbayern;Eichstätt
09177112;Berglern;Oberbayern;Erding
09177114;Buch a. Buchrain;Oberbayern;Erding
09177117;Erding;Oberbayern;Erding
09177120;Fraunberg;Oberbayern;Erding
09177121;Hohenpolding;Oberbayern;Erding
09177126;Langenpreising;Oberbayern;Erding
09177127;Lengdorf;Oberbayern;Erding
09177130;Moosinning;Oberbayern;Erding
09177131;Neuching;Oberbayern;Erding
09177133;Oberding;Oberbayern;Erding
09177135;Pastetten;Oberbayern;Erding
09177137;Sankt Wolfgang;Oberbayern;Erding
09177139;Taufkirchen (Vils);Oberbayern;Erding
09178113;Allershausen;Oberbayern;Freising
09178115;Attenkirchen;Oberbayern;Freising
09178116;Au i.d. Hallertau;Oberbayern;Freising
09178123;Fahrenzhausen;Oberbayern;Freising
09178124;Freising;Oberbayern;Freising
09178129;Haag a.d. Amper;Oberbayern;Freising
09178130;Hallbergmoos;Oberbayern;Freising
09178132;Hörgertshausen;Oberbayern;Freising
09178136;Kirchdorf a.d. Amper;Oberbayern;Freising
09178137;Kranzberg;Oberbayern;Freising
09178138;Langenbach;Oberbayern;Freising
09178140;Marzling;Oberbayern;Freising
09178143;Moosburg a.d. Isar;Oberbayern;Freising
09178150;Paunzhausen;Oberbayern;Freising
09178155;Wang;Oberbayern;Freising
09178156;Wolfersdorf;Oberbayern;Freising
09178157;Zolling;Oberbayern;Freising
09179111;Adelshofen;Oberbayern;Fürstenfeldbruck
09179113;Alling;Oberbayern;Fürstenfeldbruck
09179117;Egenhofen;Oberbayern;Fürstenfeldbruck
09179121;Fürstenfeldbruck;Oberbayern;Fürstenfeldbruck
09179128;Hattenhofen;Oberbayern;Fürstenfeldbruck
09179130;Jesenwang;Oberbayern;Fürstenfeldbruck
09179132;Landsberied;Oberbayern;Fürstenfeldbruck
09179134;Maisach;Oberbayern;Fürstenfeldbruck
09179136;Mammendorf;Oberbayern;Fürstenfeldbruck
09179137;Mittelstetten;Oberbayern;Fürstenfeldbruck
09179138;Moorenweis;Oberbayern;Fürstenfeldbruck
09179140;Oberschweinbach;Oberbayern;Fürstenfeldbruck
09179147;Schöngeising;Oberbayern;Fürstenfeldbruck
09180113;Bad Bayersoien;Oberbayern;Garmisch-Partenkirchen
09180117;Garmisch-Partenkirchen;Oberbayern;Garmisch-Partenkirchen
09180122;Krün;Oberbayern;Garmisch-Partenkirchen
09180124;Murnau a. Staffelsee;Oberbayern;Garmisch-Partenkirchen
09180129;Saulgrub;Oberbayern;Garmisch-Partenkirchen
09180131;Schwaigen;Oberbayern;Garmisch-Partenkirchen
09180135;Unterammergau;Oberbayern;Garmisch-Partenkirchen
09180136;Wallgau;Oberbayern;Garmisch-Partenkirchen
09181111;Apfeldorf;Oberbayern;Landsberg am Lech
09181113;Denklingen;Oberbayern;Landsberg am Lech
09181114;Dießen a. Ammersee;Oberbayern;Landsberg am Lech
09181115;Eching a. Ammersee;Oberbayern;Landsberg am Lech
09181118;Eresing;Oberbayern;Landsberg am Lech
09181121;Fuchstal;Oberbayern;Landsberg am Lech
09181122;Geltendorf;Oberbayern;Landsberg am Lech
09181123;Greifenberg;Oberbayern;Landsberg am Lech
09181124;Hofstetten;Oberbayern;Landsberg am Lech
09181126;Hurlach;Oberbayern;Landsberg am Lech
09181127;Igling;Oberbayern;Landsberg am Lech
09181130;Landsberg am Lech;Oberbayern;Landsberg am Lech
09181131;Obermeitingen;Oberbayern;Landsberg am Lech
09181132;Penzing;Oberbayern;Landsberg am Lech
09181133;Vilgertshofen;Oberbayern;Landsberg am Lech
09181134;Prittriching;Oberbayern;Landsberg am Lech
09181135;Reichling;Oberbayern;Landsberg am Lech
09181138;Scheuring;Oberbayern;Landsberg am Lech
09181140;Schwifting;Oberbayern;Landsberg am Lech
09181141;Pürgen;Oberbayern;Landsberg am Lech
09181142;Thaining;Oberbayern;Landsberg am Lech
09181143;Unterdießen;Oberbayern;Landsberg am Lech
09181145;Weil;Oberbayern;Landsberg am Lech
09181146;Windach;Oberbayern;Landsberg am Lech
09182114;Fischbachau;Oberbayern;Miesbach
09182116;Gmund a. Tegernsee;Oberbayern;Miesbach
09182127;Otterfing;Oberbayern;Miesbach
09182133;Valley;Oberbayern;Miesbach
09182136;Warngau;Oberbayern;Miesbach
09182137;Weyarn;Oberbayern;Miesbach
09183112;Ampfing;Oberbayern;Mühldorf a.Inn
09183113;Aschau a. Inn;Oberbayern;Mühldorf a.Inn
09183114;Buchbach;Oberbayern;Mühldorf a.Inn
09183115;Egglkofen;Oberbayern;Mühldorf a.Inn
09183116;Erharting;Oberbayern;Mühldorf a.Inn
09183118;Gars a. Inn;Oberbayern;Mühldorf a.Inn
09183119;Haag i. OB;Oberbayern;Mühldorf a.Inn
09183120;Heldenstein;Oberbayern;Mühldorf a.Inn
09183125;Lohkirchen;Oberbayern;Mühldorf a.Inn
09183126;Maitenbeth;Oberbayern;Mühldorf a.Inn
09183127;Mettenheim;Oberbayern;Mühldorf a.Inn
09183128;Mühldorf a. Inn;Oberbayern;Mühldorf a.Inn
09183132;Oberbergkirchen;Oberbayern;Mühldorf a.Inn
09183135;Obertaufkirchen;Oberbayern;Mühldorf a.Inn
09183136;Polling;Oberbayern;Mühldorf a.Inn
09183139;Rechtmehring;Oberbayern;Mühldorf a.Inn
09183140;Reichertsheim;Oberbayern;Mühldorf a.Inn
09183151;Zangberg;Oberbayern;Mühldorf a.Inn
09184129;Hohenbrunn;Oberbayern;München
09184130;Ismaning;Oberbayern;München
09184134;Oberhaching;Oberbayern;München
09184137;Aying;Oberbayern;München
09184138;Planegg;Oberbayern;München
09184141;Sauerlach;Oberbayern;München
09184144;Straßlach-Dingharting;Oberbayern;München
09185113;Aresing;Oberbayern;Neuburg-Schrobenhausen
09185116;Berg im Gau;Oberbayern;Neuburg-Schrobenhausen
09185118;Bergheim;Oberbayern;Neuburg-Schrobenhausen
09185125;Burgheim;Oberbayern;Neuburg-Schrobenhausen
09185127;Ehekirchen;Oberbayern;Neuburg-Schrobenhausen
09185131;Gachenbach;Oberbayern;Neuburg-Schrobenhausen
09185143;Langenmosen;Oberbayern;Neuburg-Schrobenhausen
09185149;Neuburg a.d. Donau;Oberbayern;Neuburg-Schrobenhausen
09185153;Rennertshofen;Oberbayern;Neuburg-Schrobenhausen
09185157;Rohrenfels;Oberbayern;Neuburg-Schrobenhausen
09185158;Schrobenhausen;Oberbayern;Neuburg-Schrobenhausen
09185163;Königsmoos;Oberbayern;Neuburg-Schrobenhausen
09185166;Waidhofen;Oberbayern;Neuburg-Schrobenhausen
09185168;Weichering;Oberbayern;Neuburg-Schrobenhausen
09186113;Baar-Ebenhausen;Oberbayern;Pfaffenhofen a.d.Ilm
09186116;Ernsgaden;Oberbayern;Pfaffenhofen a.d.Ilm
09186122;Geisenfeld;Oberbayern;Pfaffenhofen a.d.Ilm
09186125;Gerolsbach;Oberbayern;Pfaffenhofen a.d.Ilm
09186126;Hettenshausen;Oberbayern;Pfaffenhofen a.d.Ilm
09186128;Hohenwart;Oberbayern;Pfaffenhofen a.d.Ilm
09186130;Ilmmünster;Oberbayern;Pfaffenhofen a.d.Ilm
09186132;Jetzendorf;Oberbayern;Pfaffenhofen a.d.Ilm
09186137;Manching;Oberbayern;Pfaffenhofen a.d.Ilm
09186139;Münchsmünster;Oberbayern;Pfaffenhofen a.d.Ilm
09186143;Pfaffenhofen a.d. Ilm;Oberbayern;Pfaffenhofen a.d.Ilm
09186144;Pörnbach;Oberbayern;Pfaffenhofen a.d.Ilm
09186146;Reichertshausen;Oberbayern;Pfaffenhofen a.d.Ilm
09186147;Reichertshofen;Oberbayern;Pfaffenhofen a.d.Ilm
09186149;Rohrbach;Oberbayern;Pfaffenhofen a.d.Ilm
09186151;Scheyern;Oberbayern;Pfaffenhofen a.d.Ilm
09186152;Schweitenkirchen;Oberbayern;Pfaffenhofen a.d.Ilm
09186158;Vohburg a.d. Donau;Oberbayern;Pfaffenhofen a.d.Ilm
09186162;Wolnzach;Oberbayern;Pfaffenhofen a.d.Ilm
09187113;Amerang;Oberbayern;Rosenheim
09187117;Bad Aibling;Oberbayern;Rosenheim
09187118;Bernau a. Chiemsee;Oberbayern;Rosenheim
09187122;Bruckmühl;Oberbayern;Rosenheim
09187126;Eiselfing;Oberbayern;Rosenheim
09187129;Bad Feilnbach;Oberbayern;Rosenheim
09187132;Frasdorf;Oberbayern;Rosenheim
09187137;Großkarolinenfeld;Oberbayern;Rosenheim
09187138;Gstadt a. Chiemsee;Oberbayern;Rosenheim
09187142;Schechen;Oberbayern;Rosenheim
09187145;Höslwang;Oberbayern;Rosenheim
09187154;Neubeuern;Oberbayern;Rosenheim
09187156;Nußdorf a. Inn;Oberbayern;Rosenheim
09187159;Pfaffing;Oberbayern;Rosenheim
09187164;Ramerberg;Oberbayern;Rosenheim
09187165;Raubling;Oberbayern;Rosenheim
09187167;Riedering;Oberbayern;Rosenheim
09187169;Rohrdorf;Oberbayern;Rosenheim
09187172;Samerberg;Oberbayern;Rosenheim
09187173;Schonstett;Oberbayern;Rosenheim
09187176;Soyen;Oberbayern;Rosenheim
09187177;Stephanskirchen;Oberbayern;Rosenheim
09187179;Tuntenhausen;Oberbayern;Rosenheim
09187181;Vogtareuth;Oberbayern;Rosenheim
09188113;Berg;Oberbayern;Starnberg
09188117;Andechs;Oberbayern;Starnberg
09188118;Feldafing;Oberbayern;Starnberg
09188121;Gilching;Oberbayern;Starnberg
09188124;Herrsching a. Ammersee;Oberbayern;Starnberg
09188126;Inning a. Ammersee;Oberbayern;Starnberg
09188127;Krailling;Oberbayern;Starnberg
09188132;Seefeld;Oberbayern;Starnberg
09188137;Pöcking;Oberbayern;Starnberg
09188139;Starnberg;Oberbayern;Starnberg
09188141;Tutzing;Oberbayern;Starnberg
09188144;Weßling;Oberbayern;Starnberg
09188145;Wörthsee;Oberbayern;Starnberg
09189111;Altenmarkt a.d. Alz;Oberbayern;Traunstein
09189113;Bergen;Oberbayern;Traunstein
09189114;Chieming;Oberbayern;Traunstein
09189115;Engelsberg;Oberbayern;Traunstein
09189118;Fridolfing;Oberbayern;Traunstein
09189119;Grabenstätt;Oberbayern;Traunstein
09189120;Grassau;Oberbayern;Traunstein
09189126;Kienberg;Oberbayern;Traunstein
09189127;Kirchanschöring;Oberbayern;Traunstein
09189130;Nußdorf;Oberbayern;Traunstein
09189133;Obing;Oberbayern;Traunstein
09189137;Pittenhart;Oberbayern;Traunstein
09189142;Schnaitsee;Oberbayern;Traunstein
09189143;Seeon-Seebruck;Oberbayern;Traunstein
09189145;Siegsdorf;Oberbayern;Traunstein
09189148;Surberg;Oberbayern;Traunstein
09189149;Tacherting;Oberbayern;Traunstein
09189150;Taching a. See;Oberbayern;Traunstein
09189152;Tittmoning;Oberbayern;Traunstein
09189154;Traunreut;Oberbayern;Traunstein
09189155;Traunstein;Oberbayern;Traunstein
09189157;Trostberg;Oberbayern;Traunstein
09189161;Vachendorf;Oberbayern;Traunstein
09189162;Waging a. See;Oberbayern;Traunstein
09189165;Wonneberg;Oberbayern;Traunstein
09190111;Altenstadt;Oberbayern;Weilheim-Schongau
09190113;Antdorf;Oberbayern;Weilheim-Schongau
09190114;Bernbeuren;Oberbayern;Weilheim-Schongau
09190117;Böbing;Oberbayern;Weilheim-Schongau
09190118;Burggen;Oberbayern;Weilheim-Schongau
09190120;Eberfing;Oberbayern;Weilheim-Schongau
09190121;Eglfing;Oberbayern;Weilheim-Schongau
09190126;Habach;Oberbayern;Weilheim-Schongau
09190129;Hohenfurch;Oberbayern;Weilheim-Schongau
09190133;Ingenried;Oberbayern;Weilheim-Schongau
09190141;Penzberg;Oberbayern;Weilheim-Schongau
09190143;Prem;Oberbayern;Weilheim-Schongau
09190144;Raisting;Oberbayern;Weilheim-Schongau
09190148;Schongau;Oberbayern;Weilheim-Schongau
09190153;Sindelsdorf;Oberbayern;Weilheim-Schongau
09190157;Weilheim i. OB;Oberbayern;Weilheim-Schongau
09190159;Wielenbach;Oberbayern;Weilheim-Schongau
09190160;Wildsteig;Oberbayern;Weilheim-Schongau
09261000;Landshut;Niederbayern;Stadt Landshut
09263000;Straubing;Niederbayern;Stadt Straubing
09271111;Aholming;Niederbayern;Deggendorf
09271113;Auerbach;Niederbayern;Deggendorf
09271118;Buchhofen;Niederbayern;Deggendorf
09271119;Deggendorf;Niederbayern;Deggendorf
09271123;Grattersdorf;Niederbayern;Deggendorf
09271125;Hengersberg;Niederbayern;Deggendorf
09271132;Metten;Niederbayern;Deggendorf
09271135;Moos;Niederbayern;Deggendorf
09271138;Niederalteich;Niederbayern;Deggendorf
09271141;Osterhofen;Niederbayern;Deggendorf
09271143;Otzing;Niederbayern;Deggendorf
09271148;Schaufling;Niederbayern;Deggendorf
09272119;Fürsteneck;Niederbayern;Freyung-Grafenau
09272120;Grafenau;Niederbayern;Freyung-Grafenau
09272121;Grainet;Niederbayern;Freyung-Grafenau
09272122;Haidmühle;Niederbayern;Freyung-Grafenau
09272126;Hinterschmiding;Niederbayern;Freyung-Grafenau
09272127;Hohenau;Niederbayern;Freyung-Grafenau
09272129;Jandelsbrunn;Niederbayern;Freyung-Grafenau
09272134;Mauth;Niederbayern;Freyung-Grafenau
09272138;Perlesreut;Niederbayern;Freyung-Grafenau
09272139;Philippsreut;Niederbayern;Freyung-Grafenau
09272141;Röhrnbach;Niederbayern;Freyung-Grafenau
09272143;Sankt Oswald-Riedlhütte;Niederbayern;Freyung-Grafenau
09272146;Neuschönau;Niederbayern;Freyung-Grafenau
09272147;Schönberg;Niederbayern;Freyung-Grafenau
09272150;Thurmansbang;Niederbayern;Freyung-Grafenau
09272151;Waldkirchen;Niederbayern;Freyung-Grafenau
09273111;Abensberg;Niederbayern;Kelheim
09273113;Aiglsbach;Niederbayern;Kelheim
09273115;Attenhofen;Niederbayern;Kelheim
09273116;Bad Abbach;Niederbayern;Kelheim
09273119;Biburg;Niederbayern;Kelheim
09273125;Hausen;Niederbayern;Kelheim
09273127;Herrngiersdorf;Niederbayern;Kelheim
09273133;Ihrlerstein;Niederbayern;Kelheim
09273137;Kelheim;Niederbayern;Kelheim
09273139;Kirchdorf;Niederbayern;Kelheim
09273152;Neustadt a.d. Donau;Niederbayern;Kelheim
09273164;Riedenburg;Niederbayern;Kelheim
09273166;Saal a.d. Donau;Niederbayern;Kelheim
09273175;Teugn;Niederbayern;Kelheim
09273177;Train;Niederbayern;Kelheim
09273181;Wildenberg;Niederbayern;Kelheim
09274120;Bodenkirchen;Niederbayern;Landshut
09274121;Buch a. Erlbach;Niederbayern;Landshut
09274124;Eching;Niederbayern;Landshut
09274126;Ergolding;Niederbayern;Landshut
09274127;Ergoldsbach;Niederbayern;Landshut
09274141;Hohenthann;Niederbayern;Landshut
09274145;Kröning;Niederbayern;Landshut
09274154;Neufraunhofen;Niederbayern;Landshut
09274156;Niederaichbach;Niederbayern;Landshut
09274165;Obersüßbach;Niederbayern;Landshut
09274172;Pfeffenhausen;Niederbayern;Landshut
09274176;Rottenburg a.d. Laaber;Niederbayern;Landshut
09274182;Tiefenbach;Niederbayern;Landshut
09274183;Velden;Niederbayern;Landshut
09274184;Vilsbiburg;Niederbayern;Landshut
09274187;Weihmichl;Niederbayern;Landshut
09274188;Weng;Niederbayern;Landshut
09274193;Wurmsham;Niederbayern;Landshut
09274194;Bruckberg;Niederbayern;Landshut
09275111;Aicha vorm Wald;Niederbayern;Passau
09275112;Aidenbach;Niederbayern;Passau
09275114;Aldersbach;Niederbayern;Passau
09275117;Beutelsbach;Niederbayern;Passau
09275118;Breitenberg;Niederbayern;Passau
09275119;Büchlberg;Niederbayern;Passau
09275120;Eging a. See;Niederbayern;Passau
09275121;Fürstenstein;Niederbayern;Passau
09275122;Fürstenzell;Niederbayern;Passau
09275124;Bad Griesbach i. Rottal;Niederbayern;Passau
09275125;Haarbach;Niederbayern;Passau
09275126;Hauzenberg;Niederbayern;Passau
09275127;Hofkirchen;Niederbayern;Passau
09275128;Hutthurm;Niederbayern;Passau
09275130;Kirchham;Niederbayern;Passau
09275132;Malching;Niederbayern;Passau
09275133;Neuburg a. Inn;Niederbayern;Passau
09275134;Neuhaus a. Inn;Niederbayern;Passau
09275135;Neukirchen vorm Wald;Niederbayern;Passau
09275137;Obernzell;Niederbayern;Passau
09275138;Ortenburg;Niederbayern;Passau
09275141;Pocking;Niederbayern;Passau
09275143;Rotthalmünster;Niederbayern;Passau
09275145;Ruhstorf a.d. Rott;Niederbayern;Passau
09275146;Salzweg;Niederbayern;Passau
09275148;Sonnen;Niederbayern;Passau
09275150;Thyrnau;Niederbayern;Passau
09275151;Tiefenbach;Niederbayern;Passau
09275153;Untergriesbach;Niederbayern;Passau
09275154;Vilshofen an der Donau;Niederbayern;Passau
09275156;Wegscheid;Niederbayern;Passau
09275159;Windorf;Niederbayern;Passau
09275160;Witzmannsberg;Niederbayern;Passau
09276111;Achslach;Niederbayern;Regen
09276113;Arnbruck;Niederbayern;Regen
09276118;Böbrach;Niederbayern;Regen
09276120;Drachselsried;Niederbayern;Regen
09276122;Geiersthal;Niederbayern;Regen
09276123;Gotteszell;Niederbayern;Regen
09276128;Kollnburg;Niederbayern;Regen
09276129;Langdorf;Niederbayern;Regen
09276130;Lindberg;Niederbayern;Regen
09276134;Patersdorf;Niederbayern;Regen
09276135;Prackenbach;Niederbayern;Regen
09276138;Regen;Niederbayern;Regen
09276143;Teisnach;Niederbayern;Regen
09276144;Viechtach;Niederbayern;Regen
09276146;Zachenberg;Niederbayern;Regen
09277112;Bayerbach;Niederbayern;Rottal-Inn
09277113;Bad Birnbach;Niederbayern;Rottal-Inn
09277114;Dietersburg;Niederbayern;Rottal-Inn
09277117;Egglham;Niederbayern;Rottal-Inn
09277119;Falkenberg;Niederbayern;Rottal-Inn
09277121;Gangkofen;Niederbayern;Rottal-Inn
09277124;Hebertsfelden;Niederbayern;Rottal-Inn
09277127;Julbach;Niederbayern;Rottal-Inn
09277128;Kirchdorf a. Inn;Niederbayern;Rottal-Inn
09277131;Malgersdorf;Niederbayern;Rottal-Inn
09277134;Mitterskirchen;Niederbayern;Rottal-Inn
09277138;Pfarrkirchen;Niederbayern;Rottal-Inn
09277140;Reut;Niederbayern;Rottal-Inn
09277142;Roßbach;Niederbayern;Rottal-Inn
09277145;Simbach a. Inn;Niederbayern;Rottal-Inn
09277148;Tann;Niederbayern;Rottal-Inn
09277149;Triftern;Niederbayern;Rottal-Inn
09277151;Unterdietfurt;Niederbayern;Rottal-Inn
09277153;Wurmannsquick;Niederbayern;Rottal-Inn
09277154;Zeilarn;Niederbayern;Rottal-Inn
09278112;Aholfing;Niederbayern;Straubing-Bogen
09278116;Ascha;Niederbayern;Straubing-Bogen
09278117;Atting;Niederbayern;Straubing-Bogen
09278118;Bogen;Niederbayern;Straubing-Bogen
09278123;Geiselhöring;Niederbayern;Straubing-Bogen
09278144;Laberweinting;Niederbayern;Straubing-Bogen
09278146;Leiblfing;Niederbayern;Straubing-Bogen
